"","model","size","PC1","PC1_counts","PC3","PC3_counts","denom","PC1Frac","PC3Frac"
"81","GLM","32","Positive",95,"Positive",89,100,0.95,0.89
"82","ESM-L","32","Positive",0,"Positive",100,100,0,1
"83","ESM-P","32","Positive",99,"Positive",100,100,0.99,1
"84","HMSC","32","Positive",94,"Positive",96,96,0.979166666666667,1
"85","SAM","32","Positive",29,"Positive",75,82,0.353658536585366,0.914634146341463
"86","GLM","64","Positive",100,"Positive",96,100,1,0.96
"87","ESM-L","64","Positive",0,"Positive",100,100,0,1
"88","ESM-P","64","Positive",100,"Positive",100,100,1,1
"89","HMSC","64","Positive",96,"Positive",96,96,1,1
"90","SAM","64","Positive",38,"Positive",76,86,0.441860465116279,0.883720930232558
