"","model","size","PC1","PC1_counts","PC3","PC3_counts","denom","PC1Frac","PC3Frac"
"79","HMSC","16","Positive",98,"Positive",99,100,0.98,0.99
"80","SAM","16","Positive",61,"Positive",71,83,0.734939759036145,0.855421686746988
"81","GLM","32","Positive",99,"Positive",92,100,0.99,0.92
"82","ESM-L","32","Positive",56,"Positive",100,100,0.56,1
"83","ESM-P","32","Positive",100,"Positive",100,100,1,1
"84","HMSC","32","Positive",97,"Positive",96,97,1,0.989690721649485
"85","SAM","32","Positive",57,"Positive",71,83,0.686746987951807,0.855421686746988
"86","GLM","64","Positive",99,"Positive",98,100,0.99,0.98
"87","ESM-L","64","Positive",47,"Positive",100,100,0.47,1
"88","ESM-P","64","Positive",100,"Positive",100,100,1,1
"89","HMSC","64","Positive",99,"Positive",99,99,1,1
"90","SAM","64","Positive",65,"Positive",80,87,0.747126436781609,0.919540229885057
