"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"223","narrow_avg","4","rep12",0.570556640625,0.989434665689297,-0.00346584923934646,0.938433843384339,0.885988598859886,NA,0.526140799240302,0.0656522999571017,"glm",0.6
"243","narrow_avg","4","rep13",0.65673828125,0.98596613416179,0.0532686867274119,0.938433843384339,0.885988598859886,NA,0.617550576102338,0.00287388764669412,"glm",0.6
"263","narrow_avg","4","rep14",0.71240234375,0.978698845929806,0.114686712897208,0.938433843384339,0.885988598859886,NA,0.713836200425855,0.000177639140395612,"glm",0.6
"283","narrow_avg","4","rep15",0.612548828125,0.974339355148659,0.0375847669349281,0.938433843384339,0.885988598859886,NA,0.639135164657017,0.06545136850311,"glm",0.6
"303","narrow_avg","4","rep16",0.73876953125,0.981050373230573,0.0893478673319244,0.938433843384339,0.885988598859886,NA,0.707656473241644,0.00225017726459653,"glm",0.6
"323","narrow_avg","4","rep17",0.6962890625,0.98257775126232,0.0730902700683978,0.938433843384339,0.885988598859886,NA,0.650302070246887,0.00317930487012372,"glm",0.6
"343","narrow_avg","4","rep18",0.649658203125,0.973906820206062,0.0292576386611731,0.938433843384339,0.88921599797703,NA,0.633499055752033,0.0956990344405185,"glm",0.6
"363","narrow_avg","4","rep19",0.674560546875,0.984780950992762,0.103274797027849,0.938433843384339,0.885988598859886,NA,0.666019030673463,0.000779125122776778,"glm",0.6
"383","narrow_avg","4","rep20",0.64892578125,0.984418116454375,0.058666410148881,0.938433843384339,0.885988598859886,NA,0.603225100058024,0.000732113918739881,"glm",0.6
"403","narrow_avg","4","rep21",0.58935546875,0.981404669668864,0.0182097139089861,0.938433843384339,0.885988598859886,NA,0.583766576486271,0.0089633079168633,"glm",0.6
"423","narrow_avg","4","rep22",0.664794921875,0.979827544443107,0.0369860061583176,0.938433843384339,0.885988598859886,NA,0.60836912742261,0.00672142428331342,"glm",0.6
"443","narrow_avg","4","rep23",0.634765625,0.987929117926295,0.061048438205899,0.938433843384339,0.885988598859886,NA,0.649207150775848,0.0131490830965363,"glm",0.6
"463","narrow_avg","4","rep24",0.60986328125,0.971781534268829,0.0290977328022328,0.938433843384339,0.885988598859886,NA,0.609514974588054,0.070611001206784,"glm",0.6
"483","narrow_avg","4","rep25",0.66796875,0.988373291251749,0.0156830881309497,0.974693276126381,0.872155909626217,NA,0.625112991666445,1.43190092986455e-08,"glm",0.6
"503","narrow_avg","4","rep26",0.6484375,0.986497519261709,0.052623799070918,0.938433843384339,0.885988598859886,NA,0.56712388199111,0.00618952253165436,"glm",0.6
"523","narrow_avg","4","rep27",0.623779296875,0.982452496877607,0.0139578853321695,0.938433843384339,0.885988598859886,NA,0.579965823295607,0.00769243718812307,"glm",0.6
"543","narrow_avg","4","rep28",0.722900390625,0.982487149342267,0.117231224256769,0.938433843384339,0.885988598859886,NA,0.691023759344812,0.00100972418601049,"glm",0.6
"563","narrow_avg","4","rep29",0.61376953125,0.980086867198214,0.00928212956720462,0.941695894136928,0.885988598859886,NA,0.599266280097511,0.0783714280479418,"glm",0.6
"583","narrow_avg","4","rep30",0.5517578125,0.986172968315196,0.00152678741966326,0.938433843384339,0.885988598859886,NA,0.506263879820962,0.0053237225268985,"glm",0.6
"603","narrow_avg","4","rep31",0.557861328125,0.982211792673673,3.51299507506172e-05,0.938433843384339,0.885988598859886,NA,0.511171575552964,0.000255471465786977,"glm",0.6
"623","narrow_avg","4","rep32",0.6904296875,0.981546469504728,0.0869448058168684,0.938433843384339,0.885988598859886,NA,0.638693841331477,0.00590558307028169,"glm",0.6
"643","narrow_avg","4","rep33",0.60205078125,0.985680074376155,0.0274732610427061,-0.938433843384339,0.885988598859886,NA,0.563728110406398,0.00133308339524711,"glm",0.6
"663","narrow_avg","4","rep34",0.6884765625,0.983561473485496,0.0855736327150625,0.938433843384339,0.885988598859886,NA,0.617400035681732,0.000538319402580929,"glm",0.6
"683","narrow_avg","4","rep35",0.64208984375,0.9849139079783,0.0257956513026196,0.938433843384339,0.885988598859886,NA,0.575434263499386,0.00443332188523051,"glm",0.6
"703","narrow_avg","4","rep36",0.56298828125,0.99037864323134,0.00159755477935354,0.938433843384339,0.885988598859886,NA,0.52735773955309,0.0432503211761175,"glm",0.6
"723","narrow_avg","4","rep37",0.65673828125,0.98265069400436,0.0456575276124547,0.938433843384339,0.885988598859886,NA,0.579643084690003,0.00266410455822563,"glm",0.6
"743","narrow_avg","4","rep38",0.643310546875,0.986304509472193,0.0639285100450231,0.938433843384339,0.885988598859886,NA,0.607631424989618,0.0037937391381563,"glm",0.6
"763","narrow_avg","4","rep39",0.707275390625,0.982768541127796,0.0953597322914434,0.938433843384339,0.885988598859886,NA,0.634198356227145,0.00664146978008933,"glm",0.6
"783","narrow_avg","4","rep40",0.69287109375,0.986614299330663,0.136963281310046,0.938433843384339,0.885988598859886,NA,0.702917809106591,0.0029720598416775,"glm",0.6
"803","narrow_avg","4","rep41",0.7080078125,0.980700468361784,0.088641846041339,0.938433843384339,0.885988598859886,NA,0.664286176514388,0.000728992781704839,"glm",0.6
"823","narrow_avg","4","rep42",0.63232421875,0.9852220808017,0.0482356015971792,0.938433843384339,0.885988598859886,NA,0.62992561724334,0.0470909827204039,"glm",0.6
"843","narrow_avg","4","rep43",0.624755859375,0.982143966490679,0.0359050959200986,0.938433843384339,0.885988598859886,NA,0.593612811455048,0.0198527826817246,"glm",0.6
"863","narrow_avg","4","rep44",0.66943359375,0.98495191588243,0.052224818288072,0.938433843384339,0.885988598859886,NA,0.627677983306419,0.0216128426456771,"glm",0.6
"883","narrow_avg","4","rep45",0.626708984375,0.983691680052981,0.0520357141980382,0.938433843384339,0.885988598859886,NA,0.621746583529382,0.0116553875841952,"glm",0.6
"903","narrow_avg","4","rep46",0.596435546875,0.987664267111293,0.0232758123310138,-0.938433843384339,0.885988598859886,NA,0.51164542772033,0.000772932128675446,"glm",0.6
"923","narrow_avg","4","rep47",0.69580078125,0.984481562633965,0.0622797902739728,-0.938433843384339,0.886047237354386,NA,0.66818739819344,0.0242532709085243,"glm",0.6
"943","narrow_avg","4","rep48",0.64111328125,0.985795515152079,0.0526568866258602,0.938433843384339,0.885988598859886,NA,0.59094772193871,0.00336767656252908,"glm",0.6
"963","narrow_avg","4","rep49",0.71826171875,0.982195932425295,0.121584011775299,0.938433843384339,0.885988598859886,NA,0.711642642442151,0.0244822394889538,"glm",0.6
"983","narrow_avg","4","rep50",0.67529296875,0.980972133844736,0.0831700345935588,0.938433843384339,0.885988598859886,NA,0.682418686163195,0.000307648416537738,"glm",0.6
"1003","narrow_avg","4","rep51",0.530517578125,0.984574851106211,-0.000818712898579049,0.938433843384339,0.885988598859886,NA,0.509691375368702,0.0350498524904601,"glm",0.6
