"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"1138","broad_ext","8","rep72","GLM",0.708984375,0.960543985007261,0.0196743586876854,0.935491864217063,0.957424911596958,NA,0.658717312710522,0.158681405827801,2.84
"1154","broad_ext","8","rep73","GLM",0.61083984375,0.970458953000021,0.0053443789732418,-0.920454074559472,0.892575398111192,NA,0.559351338695505,0.000172516660006097,2.84
"1170","broad_ext","8","rep74","GLM",0.489990234375,0.9786245238829,-0.0039133556160057,-0.536273627362736,0.114719471947195,NA,0.48993836723051,0.0190356796666832,2.84
"1186","broad_ext","8","rep75","GLM",0.70751953125,0.965650302248306,0.00972095975535304,0.959019080434761,-0.499994005451268,NA,0.606213894440833,0.0152063095701219,2.84
"1202","broad_ext","8","rep76","GLM",0.67626953125,0.966925455676199,0.0130048881835254,0.97655085355625,0.911136676690539,NA,0.625310322929202,0.00861860389868792,2.84
"1218","broad_ext","8","rep77","GLM",0.599365234375,0.976275017714378,0.00372933077267934,0.957071707170717,0.983498349834984,NA,0.539133186900208,0.0403370859980543,2.84
"1234","broad_ext","8","rep78","GLM",0.6640625,0.963556533148977,0.0153913368931012,0.988398449703116,-0.724110677545042,NA,0.630168657513621,0.00611715687156787,2.84
"1250","broad_ext","8","rep79","GLM",0.5693359375,0.974533100365476,0.00449995512843607,-0.925619891453608,0.957755775577558,NA,0.578949278416852,0.0166851572585361,2.84
"1266","broad_ext","8","rep80","GLM",0.689453125,0.967097529777993,0.0130865078091776,0.97982598259826,0.986630663066307,NA,0.62083400200248,0.0259889676873897,2.84
"1282","broad_ext","8","rep81","GLM",0.712158203125,0.957205504380592,0.0194163008110232,0.976040258281111,0.938141252392903,NA,0.65768086715214,0.00565700558387308,2.84
"1298","broad_ext","8","rep82","GLM",0.715576171875,0.958064903866332,0.0193219196439377,0.989819208755052,0.971037680170024,NA,0.681967290226367,0.0482736716583069,2.84
"1314","broad_ext","8","rep83","GLM",0.676513671875,0.967017775892024,0.0126876664675837,0.999747943031122,-0.275523552355236,NA,0.621927487978234,0.00270559434168657,2.84
"1330","broad_ext","8","rep84","GLM",0.722412109375,0.952638306388924,0.0233009451887275,0.911888685552185,0.927369680650324,NA,0.640837306188596,0.00438084291153941,2.84
"1346","broad_ext","8","rep85","GLM",0.727783203125,0.961729670362457,0.0203489657497596,0.562424242424242,-0.459017588771106,NA,0.67867508424657,0.0142769211021687,2.84
"1362","broad_ext","8","rep86","GLM",0.673095703125,0.962669397334392,0.015280240779216,0.980606060606061,0.933843529167809,NA,0.639475311105991,0.0051990592045009,2.84
"1378","broad_ext","8","rep87","GLM",0.65625,0.966747435539071,0.0156614751084909,0.89943072612761,0.643636363636364,NA,0.622207548547885,0.0224921400418481,2.84
