"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"242","broad_ext","4","rep13",0.7216796875,0.985755998001908,0.0474651579242994,-0.871287128712871,-0.979249924992499,NA,0.641506277260521,0.000231118061426759,"glm",0.6
"262","broad_ext","4","rep14",0.759521484375,0.979034984740905,0.155435536898349,-0.871287128712871,0.979249924992499,NA,0.753926167245852,0.0261561837463722,"glm",0.6
"282","broad_ext","4","rep15",0.74072265625,0.978903219539965,0.107903761325917,-0.871287128712871,0.979249924992499,NA,0.691535831403811,0.00146522471622182,"glm",0.6
"302","broad_ext","4","rep16",0.58837890625,0.984668658916275,0.00270293774441757,0.871287128712871,0.979249924992499,NA,0.531259668230035,0.0111824008793972,"glm",0.6
"322","broad_ext","4","rep17",0.658935546875,0.985598026512293,0.0686533748172459,0.871287128712871,0.979249924992499,NA,0.575865149405342,0.000883955710730971,"glm",0.6
"342","broad_ext","4","rep18",0.499267578125,0.988452643675939,-0.00177354187017696,0.871287128712871,0.979249924992499,NA,0.478499077324111,0.00964585572430678,"glm",0.6
"362","broad_ext","4","rep19",0.63818359375,0.985775840248141,0.0593388383500374,0.871287128712871,0.979249924992499,NA,0.634221735034231,0.00740643056111132,"glm",0.6
"382","broad_ext","4","rep20",0.68798828125,0.982909399245797,0.0771261733332591,0.871287128712871,0.979249924992499,NA,0.64506008073413,0.00149784074702969,"glm",0.6
"402","broad_ext","4","rep21",0.6796875,0.979807754674239,0.026900532890323,-0.869744987861679,0.979399322352693,NA,0.626456464322326,0.0287481750349117,"glm",0.6
"422","broad_ext","4","rep22",0.625,0.9871189813287,0.00232330898447835,-0.871287128712871,0.979249924992499,NA,0.548308573348781,0.000522876076941456,"glm",0.6
"442","broad_ext","4","rep23",0.62841796875,0.979343538040781,0.0224577930231355,-0.871287128712871,0.979249924992499,NA,0.56957626699041,0.000435617075894072,"glm",0.6
"462","broad_ext","4","rep24",0.702880859375,0.981659770496185,0.110122952994346,-0.871287128712871,0.979249924992499,NA,0.608492651998648,0.000408168277611403,"glm",0.6
"482","broad_ext","4","rep25",0.67529296875,0.985197831838478,0.105171804315523,0.871287128712871,0.979249924992499,NA,0.670193206323409,0.00489970384710414,"glm",0.6
"502","broad_ext","4","rep26",0.647216796875,0.984916603361814,0.0293332894146914,-0.871287128712871,0.979249924992499,NA,0.589866709009946,0.00652095655257541,"glm",0.6
"522","broad_ext","4","rep27",0.7548828125,0.979301696161058,0.153020347626214,-0.871287128712871,0.979249924992499,NA,0.701039858373274,0.00705668179325198,"glm",0.6
"542","broad_ext","4","rep28",0.66748046875,0.986412352110597,0.0122093501950067,-0.871287128712871,0.979249924992499,NA,0.575916247629345,0.0119985443113732,"glm",0.6
"562","broad_ext","4","rep29",0.7744140625,0.983623098395393,0.261650847672721,-0.871287128712871,0.979249924992499,NA,0.737469489550906,0.00195381442731432,"glm",0.6
"582","broad_ext","4","rep30",0.6591796875,0.987027237913399,0.0519619108638588,-0.871287128712871,0.979249924992499,NA,0.600736025033631,0.000916808684575678,"glm",0.6
"602","broad_ext","4","rep31",0.677001953125,0.98246043813406,0.0922579604332335,-0.871287128712871,0.979249924992499,NA,0.672768488749416,0.000587785557881612,"glm",0.6
"622","broad_ext","4","rep32",0.728515625,0.98355122904266,0.109840475304307,-0.871287128712871,0.979249924992499,NA,0.680956919907382,0.000688074355158994,"glm",0.6
"642","broad_ext","4","rep33",0.585205078125,0.986667995868005,0.0079877195648922,0.871287128712871,0.979249924992499,NA,0.516203378921658,0.00205090095471426,"glm",0.6
"662","broad_ext","4","rep34",0.6015625,0.983581786621742,0.0255496757799566,-0.871287128712871,0.979249924992499,NA,0.534136639341788,0.00500059682903646,"glm",0.6
"682","broad_ext","4","rep35",0.710693359375,0.983053935537608,0.0981577165132694,-0.871287128712871,0.979249924992499,NA,0.665153143982912,0.00224798197431234,"glm",0.6
"702","broad_ext","4","rep36",0.56103515625,0.988348146978723,2.97209938830936e-05,0.871287128712871,0.979249924992499,NA,0.527833270015171,0.0308613185120998,"glm",0.6
"722","broad_ext","4","rep37",0.7177734375,0.976276282888576,0.118545452447158,0.871287128712871,0.979249924992499,NA,0.717015807052548,0.0012454729333901,"glm",0.6
"742","broad_ext","4","rep38",0.7275390625,0.982852411402676,0.00925188088069994,-0.871002620588261,0.983909190499787,NA,0.647769966642371,0.0673165241805706,"glm",0.6
"762","broad_ext","4","rep39",0.5849609375,0.98388242550003,0.0119341855608486,-0.871287128712871,0.979249924992499,NA,0.541785470735035,0.00397626687912498,"glm",0.6
"782","broad_ext","4","rep40",0.626220703125,0.983783717803266,0.0303667363863822,-0.871287128712871,0.979249924992499,NA,0.569919132124117,0.0102277985917163,"glm",0.6
"802","broad_ext","4","rep41",0.775146484375,0.983963970634964,0.134862602143041,0.871287128712871,0.979249924992499,NA,0.685855724185227,0.0035163491616993,"glm",0.6
"822","broad_ext","4","rep42",0.66015625,0.98435594490372,0.0290979737025815,-0.871287128712871,0.979249924992499,NA,0.572997377081691,0.000674704353678171,"glm",0.6
"842","broad_ext","4","rep43",0.600830078125,0.98499731120881,0.0184979719255756,-0.871287128712871,0.979249924992499,NA,0.581858127273549,0.00689768265573877,"glm",0.6
"862","broad_ext","4","rep44",0.605712890625,0.983748785146769,0.0268137099837565,-0.871287128712871,0.979249924992499,NA,0.562880188371314,0.00234770383389817,"glm",0.6
"882","broad_ext","4","rep45",0.612060546875,0.98407892579474,0.00767154838961243,0.871287128712871,0.9795487295602,NA,0.558267220581479,0.0436004122271199,"glm",0.6
"902","broad_ext","4","rep46",0.741455078125,0.98323797703605,0.0988160109661764,0.871287128712871,0.979249924992499,NA,0.679515986593024,4.07674055872405e-05,"glm",0.6
"922","broad_ext","4","rep47",0.670166015625,0.982488944242672,0.025030661766697,-0.871287128712871,0.979249924992499,NA,0.614103298982401,0.000372548961958394,"glm",0.6
"942","broad_ext","4","rep48",0.716552734375,0.98214782198955,0.0800293043785081,-0.871287128712871,0.979249924992499,NA,0.661740170714407,0.000198710913781972,"glm",0.6
