"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"1601","broad_avg","4","rep81",0.499755859375,0.988952362854632,0.000952700302701627,0.938433843384339,0.885988598859886,NA,0.5545125605821,0.00829907075183681,"glm",0.6
"1621","broad_avg","4","rep82",0.644287109375,0.98762728626338,0.0457376866543295,0.938433843384339,0.885988598859886,NA,0.602362122134615,0.00225230054633966,"glm",0.6
"1641","broad_avg","4","rep83",0.4287109375,0.990734927489884,-0.015713748043469,0.938433843384339,0.885988598859886,NA,0.460669097085476,0.013342758851214,"glm",0.6
"1661","broad_avg","4","rep84",0.556884765625,0.988195978630871,0.00300671846877799,-0.938433843384339,0.885988598859886,NA,0.50949951709505,0.00231081545392666,"glm",0.6
"1681","broad_avg","4","rep85",0.4404296875,0.991500704573435,-0.0263865031421409,-0.938433843384339,-0.885988598859886,NA,0.448824303041992,0.0059174509823798,"glm",0.6
"1701","broad_avg","4","rep86",0.56982421875,0.984449362396427,0.0134358281986242,0.938433843384339,0.885988598859886,NA,0.570639986363903,0.00146253963829615,"glm",0.6
"1721","broad_avg","4","rep87",0.606689453125,0.987493294689529,0.0254539877160668,0.938433843384339,0.885988598859886,NA,0.579937596449054,0.00388548858174907,"glm",0.6
"1741","broad_avg","4","rep88",0.634033203125,0.985713196145792,0.00498820321430771,-0.938433843384339,0.885988598859886,NA,0.595671231791244,0.0778106827705993,"glm",0.6
"1761","broad_avg","4","rep89",0.582275390625,0.988071692344189,0.0104511317126625,-0.938433843384339,0.885988598859886,NA,0.579876603857648,0.00772904367077195,"glm",0.6
"1781","broad_avg","4","rep90",0.515625,0.987954024529983,-2.33762829095798e-05,0.938433843384339,0.885988598859886,NA,0.484977966873164,0.00660765938961608,"glm",0.6
"1801","broad_avg","4","rep91",0.439208984375,0.990122277103032,-0.0136869803746586,0.943833613082356,0.885988598859886,NA,0.447084069925242,0.00705432252146553,"glm",0.6
"1821","broad_avg","4","rep92",0.583984375,0.988938315188464,2.68056670552561e-05,0.938433843384339,0.885988598859886,NA,0.527506486128806,0.0106245034029878,"glm",0.6
"1841","broad_avg","4","rep93",0.5595703125,0.988062080105812,-0.000336157835587672,0.938433843384339,0.885988598859886,NA,0.520891287746471,0.0292450851165632,"glm",0.6
"1861","broad_avg","4","rep94",0.536376953125,0.985601650754926,-0.000114692694090177,0.938433843384339,0.885988598859886,NA,0.489666483342693,0.000862730013524148,"glm",0.6
"1881","broad_avg","4","rep95",0.681640625,0.982742065164602,0.00330426489180097,0.938433843384339,0.885988598859886,NA,0.639108054823997,0.0177378227332713,"glm",0.6
