"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"193","broad_avg","8","rep13","glm",0.58349609375,0.972677782229223,0.00507251939282641,0.99619557397602,0.950819081908191,NA,0.567674643078517,0.029435498100794,2.84
"209","broad_avg","8","rep14","glm",0.5693359375,0.974894392714519,0.00613559082864763,0.917009354206014,0.973166035420105,NA,0.554711750838888,0.0741342912225175,2.84
"225","broad_avg","8","rep15","glm",0.668212890625,0.970336111122668,0.0101160698690027,0.977105352207358,0.942958295829583,NA,0.61700654399442,0.0173906513895294,2.84
"241","broad_avg","8","rep16","glm",0.62255859375,0.972173583914989,0.00992750020284308,0.975167768775013,0.989794506907982,NA,0.598370706140215,0.0523271703392924,2.84
"257","broad_avg","8","rep17","glm",0.6181640625,0.971238216579408,0.00599446345172145,0.99619557397602,0.967333639141612,NA,0.54388283888765,0.095531897465285,2.84
"273","broad_avg","8","rep18","glm",0.62548828125,0.965291205188991,0.012713377139192,0.979638115089085,-0.878607860786079,NA,0.609475633477976,0.0572417274646792,2.84
"289","broad_avg","8","rep19","glm",0.589599609375,0.968458889174671,0.0050575825849554,0.995544831066214,0.98952295229523,NA,0.545965087806913,0.0344919712470368,2.84
"305","broad_avg","8","rep20","glm",0.5787353515625,0.974441179426121,0.00677482791092757,0.996207620762076,0.975669177299742,NA,0.564122409078926,0.0564865458049124,2.84
"321","broad_avg","8","rep21","glm",0.603515625,0.967287854009869,0.0108568001900958,0.965069497970789,0.885988598859886,NA,0.613495480054116,0.0366872555046515,2.84
"337","broad_avg","8","rep22","glm",0.619140625,0.972807777502529,0.00822944746110352,0.998931727803755,0.97887711945775,NA,0.605483523583159,0.0141849935592661,2.84
"353","broad_avg","8","rep23","glm",0.641845703125,0.963402484016503,0.0158211459216217,0.957275110698986,0.924845566928801,NA,0.614693314046891,0.240451083591156,2.84
"369","broad_avg","8","rep24","glm",0.64794921875,0.962791643367487,0.0138699723129133,0.959428677143472,0.980869737734306,NA,0.600348016398791,0.0781056683914551,2.84
"385","broad_avg","8","rep25","glm",0.650390625,0.959376385716747,0.0173409405671731,0.969384717755714,-0.885988598859886,NA,0.617366523407582,0.0910446983383302,2.84
"401","broad_avg","8","rep26","glm",0.65234375,0.972144648435414,0.00743976361384145,0.970071189966892,0.985072870093347,NA,0.563707919391496,0.0064054633870185,2.84
"417","broad_avg","8","rep27","glm",0.62255859375,0.971815141849679,0.0103830473254563,0.937520076792726,0.803264326432643,NA,0.596254760680397,0.179098870380547,2.84
"433","broad_avg","8","rep28","glm",0.636962890625,0.969898360440489,0.00952623396186653,0.993719103274982,0.871659165916592,NA,0.610393725397815,0.0510436549237162,2.84
"449","broad_avg","8","rep29","glm",0.594970703125,0.97151672436943,0.00545240383636481,0.98871192838096,0.885988598859886,NA,0.557603898189164,0.0182387964827622,2.84
"465","broad_avg","8","rep30","glm",0.638671875,0.95722413434657,0.0173997495236977,0.975069130609903,0.972769276927693,NA,0.618763243644258,0.201679690140923,2.84
"481","broad_avg","8","rep31","glm",0.55322265625,0.973702924613921,0.00250728464508358,0.933351645381088,-0.885988598859886,NA,0.536608881921611,0.0994541684105237,2.84
"497","broad_avg","8","rep32","glm",0.584716796875,0.963563577889694,0.0103783850134185,0.9690748004567,-0.809288928892889,NA,0.559552948437215,0.105077911500879,2.84
"513","broad_avg","8","rep33","glm",0.591552734375,0.97048400447886,0.00931233305666368,0.931317606264756,0.643492349234923,NA,0.592806070346361,0.0788278493612157,2.84
"529","broad_avg","8","rep34","glm",0.693603515625,0.962272167930348,0.0194246958198371,0.986838395294931,0.984443397674391,NA,0.699399218063457,0.121527077177105,2.84
"545","broad_avg","8","rep35","glm",0.646240234375,0.969292883639329,0.00809009594943408,1,0.894941494149415,NA,0.627969435470636,0.0371949241645285,2.84
"561","broad_avg","8","rep36","glm",0.652587890625,0.96938990941952,0.0138972548169042,0.953437417974231,0.738073807380738,NA,0.634279970839133,0.0840616534100771,2.84
"577","broad_avg","8","rep37","glm",0.646728515625,0.96917340845133,0.0104558070491034,0.999051905190519,-0.911863186318632,NA,0.620684804186206,0.0255711019430953,2.84
"593","broad_avg","8","rep38","glm",0.642578125,0.97663939868857,0.00480167710015806,-0.953085387759451,0.952442535103047,NA,0.580008394786363,0.094784249147113,2.84
"609","broad_avg","8","rep39","glm",0.64111328125,0.958964746652942,0.0189408262034082,0.982380021707845,0.986421463032041,NA,0.650566801477327,0.117348163173509,2.84
"625","broad_avg","8","rep40","glm",0.670166015625,0.967485031792834,0.01092271352269,0.976077552399477,0.818109810981098,NA,0.616505786466383,0.00702134794574998,2.84
"641","broad_avg","8","rep41","glm",0.66455078125,0.971153605703082,0.0102507075778545,0.993679421396877,0.987794779477948,NA,0.609764955353127,0.0216228209688162,2.84
"657","broad_avg","8","rep42","glm",0.594970703125,0.970607692016154,0.00316945459279861,0.586138613861386,0.936069983513215,NA,0.536193369358382,0.0800945384789733,2.84
"673","broad_avg","8","rep43","glm",0.604736328125,0.973509526568982,0.00565725070084946,0.938433843384339,0.968460846084608,NA,0.567050933584797,0.0215924189258615,2.84
"689","broad_avg","8","rep44","glm",0.369384765625,0.979995175017128,-0.0043276818978046,-0.968687836814469,0.885988598859886,NA,0.429937204485788,0.00317284761189802,2.84
"705","broad_avg","8","rep45","glm",0.5751953125,0.972453925080812,0.00557985737118247,0.984482981981911,0.989610230872529,NA,0.561873760817504,0.0404010077469446,2.84
"721","broad_avg","8","rep46","glm",0.609375,0.972524050056513,0.00675581916494234,0.973129312931293,0.981343575106426,NA,0.579012324641489,0.0274182111291849,2.84
"737","broad_avg","8","rep47","glm",0.59423828125,0.973324564596168,0.00398338187702076,0.938433843384339,0.885988598859886,NA,0.577094108477843,0.0810115206001635,2.84
"753","broad_avg","8","rep48","glm",0.5830078125,0.972710210621025,0.00387070763987828,0.934346456262361,0.701986198619862,NA,0.547504756010413,0.0496585155728557,2.84
"769","broad_avg","8","rep49","glm",0.55029296875,0.96851238748058,0.00401116402799855,0.995575717648709,0.915895589558956,NA,0.572910375269276,0.0301553600575844,2.84
"785","broad_avg","8","rep50","glm",0.536865234375,0.976386543507054,0.00119823919696051,-0.937396576709134,0.885988598859886,NA,0.511674357113193,0.00287163556195905,2.84
"801","broad_avg","8","rep51","glm",0.567138671875,0.974852654821642,0.00431854517319259,0.991467146714672,0.915895589558956,NA,0.569490482995403,0.0154695035544306,2.84
"817","broad_avg","8","rep52","glm",0.587158203125,0.971117858157041,0.00562804310606514,0.992763276327633,0.964788478847885,NA,0.589410348565858,0.0106320383778754,2.84
"833","broad_avg","8","rep53","glm",0.6068115234375,0.965526493408781,0.0121384448479635,0.930305724226963,0.830517747446402,NA,0.593566628975511,0.000917649789963772,2.84
"849","broad_avg","8","rep54","glm",0.67041015625,0.964006920347312,0.0137918302724295,0.940129058064257,0.970897089708971,NA,0.611713223557169,0.0553226286543962,2.84
"865","broad_avg","8","rep55","glm",0.73876953125,0.961127802307592,0.0145600048724076,0.991093413474891,0.885988598859886,NA,0.678106834057694,0.0711313131942802,2.84
"881","broad_avg","8","rep56","glm",0.55029296875,0.978333919193261,-0.00184642453173418,0.984250444417714,0.859141914191419,NA,0.506758438282685,0.0564712878928049,2.84
"897","broad_avg","8","rep57","glm",0.63720703125,0.968042268029621,0.0104875393833573,0.976077552399477,0.879030760103665,NA,0.593068128111186,0.000393441490574001,2.84
"913","broad_avg","8","rep58","glm",0.646240234375,0.957483590846298,0.0242354017675834,0.941326638291526,0.986060720805001,NA,0.630696828918852,0.134753525947633,2.84
"929","broad_avg","8","rep59","glm",0.597900390625,0.964128259921226,0.00974324842948359,0.940714071407141,0.95472964870738,NA,0.546229474793302,0.0475608110333337,2.84
"945","broad_avg","8","rep60","glm",0.4921875,0.975644500933063,0.0026670136410893,-0.867079729090864,0.915904005015126,NA,0.519468632453226,0.0120093609310471,2.84
"961","broad_avg","8","rep61","glm",0.6500244140625,0.969977541854088,0.013194851168066,0.999099909990999,0.925548711271379,NA,0.639175192789883,0.0178096932206395,2.84
