"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"803","narrow_avg","8","rep51","GLM",0.7059326171875,0.95256437966771,0.0323624259678862,0.935395960817145,0.763187928510588,NA,0.683224760303987,1.7978479476413e-06,2.84
"819","narrow_avg","8","rep52","GLM",0.7509765625,0.951216467547,0.0249981715281111,0.965849900843332,0.883588358835884,NA,0.697320560841008,0.0630975605104662,2.84
"835","narrow_avg","8","rep53","GLM",0.8193359375,0.950073297078776,0.0307826167368291,0.973498218891207,0.987340177998411,NA,0.759970697874875,0.0284001503127827,2.84
"851","narrow_avg","8","rep54","GLM",0.673095703125,0.954693454012028,0.0107485067789764,0.937308776169073,-0.925496549654966,NA,0.581483793815751,0.0593358175239437,2.84
"867","narrow_avg","8","rep55","GLM",0.80078125,0.953973678455831,0.0353632204816343,0.930759205019373,0.966334678551786,NA,0.785250310762708,0.00614618408627182,2.84
"883","narrow_avg","8","rep56","GLM",0.73291015625,0.94933987605103,0.0311303877002637,0.956269013347453,0.850518141900193,NA,0.696099660614387,0.00416376091892461,2.84
"899","narrow_avg","8","rep57","GLM",0.6923828125,0.950280360299228,0.0220863146479854,0.932564217098638,0.940566293667325,NA,0.638960918714769,0.0183346379564828,2.84
"915","narrow_avg","8","rep58","GLM",0.798583984375,0.940239795030364,0.0374337667724463,0.933351645381088,0.885988598859886,NA,0.739753835196824,0.0298776858179658,2.84
"931","narrow_avg","8","rep59","GLM",0.814453125,0.927936487758776,0.0575243995350646,0.87732375420763,0.908280386373831,NA,0.729475885510273,0.336662593747291,2.84
"947","narrow_avg","8","rep60","GLM",0.7802734375,0.939401220448978,0.0458637409728984,0.88238759102,0.771833183318332,NA,0.729947539374622,0.128038793561294,2.84
"963","narrow_avg","8","rep61","GLM",0.697998046875,0.958076261223114,0.020843767168894,0.969079258303521,0.965499156365024,NA,0.648083984471633,0.109233286470513,2.84
"979","narrow_avg","8","rep62","GLM",0.78173828125,0.965169251311788,0.017912461538264,0.993908841634155,0.980261056339853,NA,0.679281324174737,0.0373410627887824,2.84
"995","narrow_avg","8","rep63","GLM",0.76171875,0.952075000717061,0.0274780337504508,0.930391348175528,-0.885988598859886,NA,0.69654282914154,0.0312127668501258,2.84
"1011","narrow_avg","8","rep64","GLM",0.826416015625,0.948900748556968,0.0325233133970633,0.952171553364897,0.878607860786079,NA,0.768274054217106,0.0872928254535471,2.84
"1027","narrow_avg","8","rep65","GLM",0.74951171875,0.94958486755059,0.0282237896551371,0.88238759102,0.943812391520622,NA,0.665541214357406,0.00535209871544336,2.84
